nama_tpu,wilayah,kecamatan,kelurahan,alamat,luas,unit_agama,jumlah_terisi,lat,lon,confidence,nominatim_match_type
TPU CIKOKO,KOTA ADM. JAKARTA SELATAN,PANCORAN,CIKOKO,"RT.9/RW.2, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",3618,ISLAM,1721,,,FAILED,
TPU PONDOK RANGGON,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,"Jl. Raya Tpu Pd. Ranggon, RT.7/RW.4, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860",675032,ISLAM/ KRISTEN/ HINDU/ BHUDA,107616,,,FAILED,
TPU PONDOK KELAPA,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"Jl. TPU Pd. Klp., RT.3/RW.4, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450",443121,ISLAM/ KRISTEN/ HINDU/ BHUDA,36683,,,FAILED,
TPU MALAKA I (PONDOK KELAPA),KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"Jl. Rawadas No.110, RT.8/RW.3, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460",135560,ISLAM/ KRISTEN/ HINDU/ BHUDA,33772,,,FAILED,
TPU TANAH MERAH MALAKA II (PONDOK KELAPA),KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"RT.8/RW.2, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460",58761,ISLAM/ KRISTEN/ HINDU/ BHUDA,25429,,,FAILED,
TPU CIPINANG BESAR,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,"Jalan Kebon Nanas, RT.1/RW.5, Cipinang Besar Selatan, Jatinegara, RT.10/RW.2, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",160190,ISLAM/ KRISTEN/ HINDU/ BHUDA,20975,,,FAILED,
TPU KARET BIVAK,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,"Jl. Karet Pasar Baru Barat, Karet Tengsin, Tanahabang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",161861,ISLAM,66229,,,FAILED,
TPU KARET PASAR BARU BARAT,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,"Jl. K.H. Mas Mansyur No.48, RT.1/RW.5, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",68892,ISLAM,33991,,,FAILED,
TPU KAWI-KAWI,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,"Jl. Percetakan Negara II Makam No.1, RT.9/RW.8, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",49699,ISLAM,35398,,,FAILED,
TPU PETAMBURAN,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,"Jl. Ks. Tubun No.1, Petamburan, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",99025,KRISTEN,14750,,,FAILED,
