nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Krida Serdang,KOTA ADM. JAKARTA PUSAT,Kemayoran,Serdang,-6.1571655,106.8583215,medium - name matched in result,"RPTRA Krida Serdang, Serdang, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Serdang Baru,KOTA ADM. JAKARTA PUSAT,Kemayoran,Serdang,-6.1590625,106.8645591,medium - name matched in result,"RPTRA Serdang Baru, Serdang, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Mutiara Sumur Batu,KOTA ADM. JAKARTA PUSAT,Kemayoran,Sumur Batu,-6.1644996,106.8682592,medium - name matched in result,"RPTRA Mutiara Sumur Batu, Sumur Batu, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kampung Budaya,KOTA ADM. JAKARTA PUSAT,Kemayoran,Utan Panjang,-6.1680045,106.8553585,medium - name matched in result,"RPTRA Kampung Budaya, Utan Panjang, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Planet Senen,KOTA ADM. JAKARTA PUSAT,Senen,Senen,-6.1744233,106.8445744,"LOW - kelurahan centroid only, not the actual park","Pasar Senen, Jalan Bungur Besar Raya, RW 04, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10460, Indonesia"
Mh Thamrin,KOTA ADM. JAKARTA PUSAT,Senen,Kenari,-6.1926888,106.8465703,"LOW - kelurahan centroid only, not the actual park","Kenari, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10430, Indonesia"
Annur,KOTA ADM. JAKARTA PUSAT,Senen,Paseban,-6.1922568,106.8525086,"LOW - kelurahan centroid only, not the actual park","Paseban, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10440, Indonesia"
Kampung Benda,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,Cempaka Putih Timur,-6.1746844,106.8654291,medium - name matched in result,"RPTRA Kampung Benda, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Beringin,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,Cempaka Putih Timur,-6.1763601,106.8704399,"LOW - kelurahan centroid only, not the actual park","Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10540, Indonesia"
Matahari,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,Cempaka Putih Timur,-6.1763601,106.8704399,"LOW - kelurahan centroid only, not the actual park","Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10540, Indonesia"
Anggrek,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,Cempaka Putih Timur,-6.1763601,106.8704399,"LOW - kelurahan centroid only, not the actual park","Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10540, Indonesia"
Mardani Asri,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,Cempaka Putih Barat,-6.1797434,106.8630960,"LOW - kelurahan centroid only, not the actual park","Cempaka Putih Barat, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
