periode_data,wilayah,kecamatan,kelurahan,nama_rptra
2023,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,RAMAH LINGKUNGAN
2023,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,BELIMBING
2023,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,SERUNI
2023,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,ASOKA
2023,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,KKO
2023,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,KEMUNING
2023,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,MALINJO
2023,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,KAYUMAS
2023,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,JAKA TERATAI
2023,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,JAKA BERSERI
2023,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,BERINGIN INDAH
2023,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,JATI,JATI BERSINAR
2023,KOTA ADM. JAKARTA TIMUR,JATINEGARA,BIDARA CINA,PERMATA INTAN
2023,KOTA ADM. JAKARTA TIMUR,JATINEGARA,BIDARA CINA,RUSUNAMI BERIMAN
2023,KOTA ADM. JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,CITRA PERMATA
2023,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,WANGI CEMPEDAK
2023,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,CBS BAHAGIA
2023,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,CIBESUT
2023,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,MUSTIKA
2023,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,TENGAH,DAHLIA
2023,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,UDARA SEGAR 126
2023,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,MUARA CONDET
2023,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,CILILITAN,CILILITAN
2023,KOTA ADM. JAKARTA TIMUR,PASAR REBO,GEDONG,GEDONG TRIKORA
2023,KOTA ADM. JAKARTA TIMUR,PASAR REBO,PEKAYON,KOPI GANDARIA
2023,KOTA ADM. JAKARTA TIMUR,PASAR REBO,PEKAYON,KACA PIRING
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,JATINEGARA,JATINEGARA
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PENGGILINGAN,PENGGILINGAN
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PENGGILINGAN,CITRA BANGSA
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PENGGILINGAN,PULO INDAH
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PENGGILINGAN,KOMARUDIN
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,CAKTIM TERSENYUM
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PULO GEBANG,PULO GEBANG INDAH
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PULO GEBANG,PULO GEBANG PERMAI
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PULO GEBANG,CAHAYA UJUNG KRAWANG
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,PULO GEBANG,DAMAI INDAH RAWABEBEK
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,KENANGA BERSERI
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,SANGKURIANG
